Relative Time,Note,Duration,Start Time,End Time
0,65,0.75,0,0.75
0.75,65,0.75,0.75,1.5
1.125,67,0.375,1.875,2.25
0.375,64,0.75,2.25,3.0
0.75,64,0.75,3.0,3.75
0.375,46,0.375,3.375,3.75
0.375,45,0.375,3.75,4.125
0.375,43,0.375,4.125,4.5
0.375,69,0.75,4.5,5.25
0.75,69,0.75,5.25,6.0
1.125,70,0.375,6.375,6.75
0.375,67,0.75,6.75,7.5
0.75,67,0.75,7.5,8.25
0.375,48,0.375,7.875,8.25
0.375,46,0.375,8.25,8.625
0.375,69,0.375,8.625,9.0
0.375,70,0.75,9.0,9.75
0.75,70,0.75,9.75,10.5
0.75,43,0.75,10.5,11.25
0.375,69,0.375,10.875,11.25
0.375,69,0.75,11.25,12.0
0.75,69,0.75,12.0,12.75
1.125,69,0.375,13.125,13.5
0.375,74,0.75,13.5,14.25
0.75,74,0.75,14.25,15.0
1.125,76,0.375,15.375,15.75
0.375,73,0.75,15.75,16.5
0.75,73,0.75,16.5,17.25
0.375,55,0.375,16.875,17.25
0.375,53,0.375,17.25,17.625
0.375,52,0.375,17.625,18.0
0.375,65,0.75,18.0,18.75
0.75,65,0.75,18.75,19.5
1.125,67,0.375,19.875,20.25
0.375,64,0.75,20.25,21.0
0.75,64,0.75,21.0,21.75
0.375,46,0.375,21.375,21.75
0.375,45,0.375,21.75,22.125
0.375,43,0.375,22.125,22.5
0.375,69,0.75,22.5,23.25
0.75,69,0.75,23.25,24.0
1.125,70,0.375,24.375,24.75
0.375,67,0.75,24.75,25.5
0.75,67,0.75,25.5,26.25
0.375,48,0.375,25.875,26.25
0.375,46,0.375,26.25,26.625
0.375,69,0.375,26.625,27.0
0.375,70,0.75,27.0,27.75
0.375,55,0.375,27.375,27.75
0.375,70,0.75,27.75,28.5
0.375,55,0.375,28.125,28.5
0.375,48,0.375,28.5,28.875
0.375,72,0.375,28.875,29.25
0.375,69,1.125,29.25,30.375
1.125,69,0.375,30.375,30.75
0.375,74,0.375,30.75,31.125
0.375,73,0.375,31.125,31.5
0.375,74,0.375,31.5,31.875
0.375,76,0.375,31.875,32.25
0.375,77,0.75,32.25,33.0
0.75,76,0.375,33.0,33.375
0.375,74,0.375,33.375,33.75
0.375,74,0.75,33.75,34.5
0.75,74,0.75,34.5,35.25
1.5,65,0.75,36.0,36.75
0.75,65,0.75,36.75,37.5
1.125,67,0.375,37.875,38.25
0.375,64,0.75,38.25,39.0
0.75,64,0.75,39.0,39.75
0.375,46,0.375,39.375,39.75
0.375,45,0.375,39.75,40.125
0.375,43,0.375,40.125,40.5
0.375,69,0.75,40.5,41.25
0.75,69,0.75,41.25,42.0
1.125,70,0.375,42.375,42.75
0.375,67,0.75,42.75,43.5
0.75,67,0.75,43.5,44.25
0.375,48,0.375,43.875,44.25
0.375,46,0.375,44.25,44.625
0.375,69,0.375,44.625,45.0
0.375,70,0.75,45.0,45.75
0.75,70,0.75,45.75,46.5
0.75,43,0.75,46.5,47.25
0.375,69,0.375,46.875,47.25
0.375,69,0.75,47.25,48.0
0.75,69,0.75,48.0,48.75
1.125,69,0.375,49.125,49.5
0.375,74,0.75,49.5,50.25
0.75,74,0.75,50.25,51.0
1.125,76,0.375,51.375,51.75
0.375,73,0.75,51.75,52.5
0.75,73,0.75,52.5,53.25
0.375,55,0.375,52.875,53.25
0.375,53,0.375,53.25,53.625
0.375,52,0.375,53.625,54.0
0.375,65,0.75,54.0,54.75
0.75,65,0.75,54.75,55.5
1.125,67,0.375,55.875,56.25
0.375,64,0.75,56.25,57.0
0.75,64,0.75,57.0,57.75
0.375,46,0.375,57.375,57.75
0.375,45,0.375,57.75,58.125
0.375,43,0.375,58.125,58.5
0.375,69,0.75,58.5,59.25
0.75,69,0.75,59.25,60.0
1.125,70,0.375,60.375,60.75
0.375,67,0.75,60.75,61.5
0.75,67,0.75,61.5,62.25
0.375,48,0.375,61.875,62.25
0.375,46,0.375,62.25,62.625
0.375,69,0.375,62.625,63.0
0.375,70,0.75,63.0,63.75
0.375,55,0.375,63.375,63.75
0.375,70,0.75,63.75,64.5
0.375,55,0.375,64.125,64.5
0.375,48,0.375,64.5,64.875
0.375,72,0.375,64.875,65.25
0.375,69,1.125,65.25,66.375
1.125,69,0.375,66.375,66.75
0.375,74,0.375,66.75,67.125
0.375,73,0.375,67.125,67.5
0.375,74,0.375,67.5,67.875
0.375,76,0.375,67.875,68.25
0.375,77,0.75,68.25,69.0
0.75,76,0.375,69.0,69.375
0.375,74,0.375,69.375,69.75
0.375,74,0.75,69.75,70.5
0.75,74,0.75,70.5,71.25
1.5,65,1.125,72.0,73.125
0.375,57,0.375,72.375,72.75
0.375,62,0.75,72.75,73.5
0.375,69,0.375,73.125,73.5
0.375,67,0.375,73.5,73.875
0.375,65,0.375,73.875,74.25
0.375,64,0.75,74.25,75.0
0.375,59,0.375,74.625,75.0
0.375,61,0.75,75.0,75.75
0.375,55,0.375,75.375,75.75
0.375,57,0.375,75.75,76.125
0.375,52,0.375,76.125,76.5
0.375,69,1.125,76.5,77.625
0.375,60,0.375,76.875,77.25
0.375,65,0.75,77.25,78.0
0.375,72,0.375,77.625,78.0
0.375,70,0.375,78.0,78.375
0.375,69,0.375,78.375,78.75
0.375,67,0.75,78.75,79.5
0.375,62,0.375,79.125,79.5
0.375,64,0.75,79.5,80.25
0.375,59,0.375,79.875,80.25
0.375,60,0.75,80.25,81.0
0.375,69,0.375,80.625,81.0
0.375,70,1.125,81.0,82.125
0.375,62,0.375,81.375,81.75
0.375,67,0.75,81.75,82.5
0.375,74,0.375,82.125,82.5
0.375,72,0.375,82.5,82.875
0.375,70,0.375,82.875,83.25
0.375,69,0.75,83.25,84.0
0.375,67,0.375,83.625,84.0
0.375,65,0.375,84.0,84.375
0.375,64,0.375,84.375,84.75
0.375,62,0.375,84.75,85.125
0.375,69,0.75,85.125,85.875
0.375,74,1.125,85.5,86.625
0.375,69,0.375,85.875,86.25
0.375,67,0.75,86.25,87.0
0.375,77,0.375,86.625,87.0
0.375,76,0.375,87.0,87.375
0.375,74,0.375,87.375,87.75
0.375,73,0.375,87.75,88.125
0.375,76,0.375,88.125,88.5
0.375,69,0.375,88.5,88.875
0.375,73,0.375,88.875,89.25
0.375,64,0.375,89.25,89.625
0.375,67,0.375,89.625,90.0
0.375,65,1.125,90.0,91.125
0.375,57,0.375,90.375,90.75
0.375,62,0.75,90.75,91.5
0.375,69,0.375,91.125,91.5
0.375,67,0.375,91.5,91.875
0.375,65,0.375,91.875,92.25
0.375,64,0.75,92.25,93.0
0.375,62,0.375,92.625,93.0
0.375,61,0.75,93.0,93.75
0.375,55,0.375,93.375,93.75
0.375,57,0.375,93.75,94.125
0.375,52,0.375,94.125,94.5
0.375,69,1.125,94.5,95.625
0.375,60,0.375,94.875,95.25
0.375,65,0.75,95.25,96.0
0.375,72,0.375,95.625,96.0
0.375,70,0.375,96.0,96.375
0.375,69,0.375,96.375,96.75
0.375,67,0.75,96.75,97.5
0.375,62,0.375,97.125,97.5
0.375,64,0.75,97.5,98.25
0.375,58,0.375,97.875,98.25
0.375,60,0.75,98.25,99.0
0.375,69,0.375,98.625,99.0
0.375,70,1.125,99.0,100.125
0.375,62,0.375,99.375,99.75
0.375,67,0.75,99.75,100.5
0.375,74,0.375,100.125,100.5
0.375,72,0.375,100.5,100.875
0.375,70,0.375,100.875,101.25
0.375,69,1.125,101.25,102.375
0.375,67,0.375,101.625,102.0
0.375,65,0.375,102.0,102.375
0.375,69,0.375,102.375,102.75
0.375,74,0.75,102.75,103.5
0.375,65,0.375,103.125,103.5
0.375,74,0.375,103.5,103.875
0.375,76,0.375,103.875,104.25
0.375,77,0.75,104.25,105.0
0.375,74,0.375,104.625,105.0
0.375,76,0.75,105.0,105.75
0.375,67,0.375,105.375,105.75
0.375,74,1.5,105.75,107.25
0.375,70,0.375,106.125,106.5
0.375,69,0.375,106.5,106.875
0.375,67,0.375,106.875,107.25
0.375,65,0.375,107.25,107.625
0.375,64,0.375,107.625,108.0
0.375,65,1.125,108.0,109.125
0.375,57,0.375,108.375,108.75
0.375,62,0.75,108.75,109.5
0.375,69,0.375,109.125,109.5
0.375,67,0.375,109.5,109.875
0.375,65,0.375,109.875,110.25
0.375,64,0.75,110.25,111.0
0.375,59,0.375,110.625,111.0
0.375,61,0.75,111.0,111.75
0.375,55,0.375,111.375,111.75
0.375,57,0.375,111.75,112.125
0.375,52,0.375,112.125,112.5
0.375,69,1.125,112.5,113.625
0.375,60,0.375,112.875,113.25
0.375,65,0.75,113.25,114.0
0.375,72,0.375,113.625,114.0
0.375,70,0.375,114.0,114.375
0.375,69,0.375,114.375,114.75
0.375,67,0.75,114.75,115.5
0.375,62,0.375,115.125,115.5
0.375,64,0.75,115.5,116.25
0.375,59,0.375,115.875,116.25
0.375,60,0.75,116.25,117.0
0.375,69,0.375,116.625,117.0
0.375,70,1.125,117.0,118.125
0.375,62,0.375,117.375,117.75
0.375,67,0.75,117.75,118.5
0.375,74,0.375,118.125,118.5
0.375,72,0.375,118.5,118.875
0.375,70,0.375,118.875,119.25
0.375,69,0.75,119.25,120.0
0.375,67,0.375,119.625,120.0
0.375,65,0.375,120.0,120.375
0.375,64,0.375,120.375,120.75
0.375,62,0.375,120.75,121.125
0.375,69,0.75,121.125,121.875
0.375,74,1.125,121.5,122.625
0.375,69,0.375,121.875,122.25
0.375,67,0.75,122.25,123.0
0.375,77,0.375,122.625,123.0
0.375,76,0.375,123.0,123.375
0.375,74,0.375,123.375,123.75
0.375,73,0.375,123.75,124.125
0.375,76,0.375,124.125,124.5
0.375,69,0.375,124.5,124.875
0.375,73,0.375,124.875,125.25
0.375,64,0.375,125.25,125.625
0.375,67,0.375,125.625,126.0
0.375,65,1.125,126.0,127.125
0.375,57,0.375,126.375,126.75
0.375,62,0.75,126.75,127.5
0.375,69,0.375,127.125,127.5
0.375,67,0.375,127.5,127.875
0.375,65,0.375,127.875,128.25
0.375,64,0.75,128.25,129.0
0.375,62,0.375,128.625,129.0
0.375,61,0.75,129.0,129.75
0.375,55,0.375,129.375,129.75
0.375,57,0.375,129.75,130.125
0.375,52,0.375,130.125,130.5
0.375,69,1.125,130.5,131.625
0.375,60,0.375,130.875,131.25
0.375,65,0.75,131.25,132.0
0.375,72,0.375,131.625,132.0
0.375,70,0.375,132.0,132.375
0.375,69,0.375,132.375,132.75
0.375,67,0.75,132.75,133.5
0.375,62,0.375,133.125,133.5
0.375,64,0.75,133.5,134.25
0.375,58,0.375,133.875,134.25
0.375,60,0.75,134.25,135.0
0.375,69,0.375,134.625,135.0
0.375,70,1.125,135.0,136.125
0.375,62,0.375,135.375,135.75
0.375,67,0.75,135.75,136.5
0.375,74,0.375,136.125,136.5
0.375,72,0.375,136.5,136.875
0.375,70,0.375,136.875,137.25
0.375,69,1.125,137.25,138.375
0.375,67,0.375,137.625,138.0
0.375,65,0.375,138.0,138.375
0.375,69,0.375,138.375,138.75
0.375,74,0.75,138.75,139.5
0.375,65,0.375,139.125,139.5
0.375,74,0.375,139.5,139.875
0.375,76,0.375,139.875,140.25
0.375,77,0.75,140.25,141.0
0.375,74,0.375,140.625,141.0
0.375,76,0.75,141.0,141.75
0.375,67,0.375,141.375,141.75
0.375,74,1.5,141.75,143.25
0.375,70,0.375,142.125,142.5
0.375,69,0.375,142.5,142.875
0.375,67,0.375,142.875,143.25
0.375,65,0.375,143.25,143.625
0.375,64,0.375,143.625,144.0
0.375,65,0.75,144.0,144.75
0.375,49,0.375,144.375,144.75
0.375,65,1.5,144.75,146.25
0.375,52,0.375,145.125,145.5
0.375,53,0.375,145.5,145.875
0.375,55,0.375,145.875,146.25
0.375,64,0.75,146.25,147.0
0.375,55,0.375,146.625,147.0
0.375,64,1.5,147.0,148.5
0.375,52,0.375,147.375,147.75
0.375,49,0.375,147.75,148.125
0.375,45,0.375,148.125,148.5
0.375,69,0.75,148.5,149.25
0.375,52,0.375,148.875,149.25
0.375,69,1.5,149.25,150.75
0.375,55,0.375,149.625,150.0
0.375,57,0.375,150.0,150.375
0.375,58,0.375,150.375,150.75
0.375,67,0.75,150.75,151.5
0.375,55,0.375,151.125,151.5
0.375,67,1.5,151.5,153.0
0.375,55,0.375,151.875,152.25
0.375,48,0.375,152.25,152.625
0.375,52,0.375,152.625,153.0
0.375,70,0.75,153.0,153.75
0.375,53,0.375,153.375,153.75
0.375,70,1.5,153.75,155.25
0.375,57,0.375,154.125,154.5
0.375,58,0.375,154.5,154.875
0.375,60,0.375,154.875,155.25
0.375,69,0.75,155.25,156.0
0.375,57,0.375,155.625,156.0
0.375,69,1.5,156.0,157.5
0.375,57,0.375,156.375,156.75
0.375,50,0.375,156.75,157.125
0.375,53,0.375,157.125,157.5
0.375,74,0.75,157.5,158.25
0.375,53,0.375,157.875,158.25
0.375,76,1.125,158.25,159.375
0.375,57,0.375,158.625,159.0
0.375,55,0.375,159.0,159.375
0.375,74,0.375,159.375,159.75
0.375,73,2.25,159.75,162.0
0.375,58,0.375,160.125,160.5
0.375,57,0.375,160.5,160.875
0.375,55,0.375,160.875,161.25
0.375,53,0.375,161.25,161.625
0.375,52,0.375,161.625,162.0
0.375,65,0.75,162.0,162.75
0.375,45,0.375,162.375,162.75
0.375,65,1.5,162.75,164.25
0.375,45,0.375,163.125,163.5
0.375,38,0.375,163.5,163.875
0.375,41,0.375,163.875,164.25
0.375,64,0.75,164.25,165.0
0.375,52,0.375,164.625,165.0
0.375,64,1.5,165.0,166.5
0.375,55,0.375,165.375,165.75
0.375,53,0.375,165.75,166.125
0.375,52,0.375,166.125,166.5
0.375,69,0.75,166.5,167.25
0.375,48,0.375,166.875,167.25
0.375,69,1.5,167.25,168.75
0.375,48,0.375,167.625,168.0
0.375,41,0.375,168.0,168.375
0.375,45,0.375,168.375,168.75
0.375,67,0.75,168.75,169.5
0.375,46,0.375,169.125,169.5
0.375,67,1.5,169.5,171.0
0.375,50,0.375,169.875,170.25
0.375,52,0.375,170.25,170.625
0.375,53,0.375,170.625,171.0
0.375,70,0.75,171.0,171.75
0.375,50,0.375,171.375,171.75
0.375,70,1.5,171.75,173.25
0.375,50,0.375,172.125,172.5
0.375,43,0.375,172.5,172.875
0.375,46,0.375,172.875,173.25
0.375,69,1.125,173.25,174.375
0.375,52,0.375,173.625,174.0
0.375,50,0.375,174.0,174.375
0.375,69,0.375,174.375,174.75
0.375,74,0.375,174.75,175.125
0.375,73,0.375,175.125,175.5
0.375,74,0.375,175.5,175.875
0.375,76,0.375,175.875,176.25
0.375,77,0.75,176.25,177.0
0.375,74,0.375,176.625,177.0
0.375,76,0.75,177.0,177.75
0.375,69,0.375,177.375,177.75
0.375,74,1.5,177.75,179.25
0.375,57,0.375,178.125,178.5
0.375,53,0.375,178.5,178.875
0.375,57,0.375,178.875,179.25
0.375,50,0.75,179.25,180.0
0.75,65,0.75,180.0,180.75
0.375,49,0.375,180.375,180.75
0.375,65,1.5,180.75,182.25
0.375,52,0.375,181.125,181.5
0.375,53,0.375,181.5,181.875
0.375,55,0.375,181.875,182.25
0.375,64,0.75,182.25,183.0
0.375,55,0.375,182.625,183.0
0.375,64,1.5,183.0,184.5
0.375,52,0.375,183.375,183.75
0.375,49,0.375,183.75,184.125
0.375,45,0.375,184.125,184.5
0.375,69,0.75,184.5,185.25
0.375,52,0.375,184.875,185.25
0.375,69,1.5,185.25,186.75
0.375,55,0.375,185.625,186.0
0.375,57,0.375,186.0,186.375
0.375,58,0.375,186.375,186.75
0.375,67,0.75,186.75,187.5
0.375,55,0.375,187.125,187.5
0.375,67,1.5,187.5,189.0
0.375,55,0.375,187.875,188.25
0.375,48,0.375,188.25,188.625
0.375,52,0.375,188.625,189.0
0.375,70,0.75,189.0,189.75
0.375,53,0.375,189.375,189.75
